Country;round;NetMper1000;NetMpc
Austria;1990;7.763371256;0.007763371
Belgium;1990;0.677409778;0.00067741
Czech Republic;1990;-0.405192699;-0.000405193
Germany;1990;6.042247237;0.006042247
Denmark;1990;1.837991075;0.001837991
Spain;1990;-0.982985141;-0.000982985
Finland;1990;1.777624116;0.001777624
France;1990;0.196469269;0.000196469
Hungary;1990;1.691249305;0.001691249
Ireland;1990;-2.328702489;-0.002328702
Iceland;1990;-3.802594712;-0.003802595
Italy;1990;0.374969763;0.00037497
Malta;1990;1.71104272;0.001711043
Netherlands;1990;2.165199368;0.002165199
Norway;1990;0.446778749;0.000446779
Poland;1990;-1.082213427;-0.001082213
Portugal;1990;-3.376065713;-0.003376066
Slovakia;1990;-1.911991405;-0.001911991
Sweden;1990;2.070842585;0.002070843
Austria;1999;2.473373202;0.002473373
Belgium;1999;2.801664982;0.002801665
Czech Republic;1999;0.523344347;0.000523344
Germany;1999;1.059460932;0.001059461
Denmark;1999;2.516254372;0.002516254
Spain;1999;4.22647209;0.004226472
Finland;1999;0.683770744;0.000683771
France;1999;1.283658285;0.001283658
Hungary;1999;1.427102045;0.001427102
Ireland;1999;6.225388078;0.006225388
Iceland;1999;4.167552933;0.004167553
Italy;1999;0.702469909;0.00070247
Malta;1999;4.654546956;0.004654547
Netherlands;1999;1.701040369;0.00170104
Norway;1999;4.291208726;0.004291209
Poland;1999;-0.637657196;-0.000637657
Portugal;1999;4.821572647;0.004821573
Slovakia;1999;-0.018902821;-1.89E-05
Sweden;1999;2.997784796;0.002997785
Austria;2008;3.064232681;0.003064233
Belgium;2008;4.849405316;0.004849405
Czech Republic;2008;2.870692312;0.002870692
Germany;2008;2.578355254;0.002578355
Denmark;2008;2.568615491;0.002568615
Spain;2008;9.374091621;0.009374092
Finland;2008;2.93202148;0.002932021
France;2008;1.997943575;0.001997944
Hungary;2008;1.660060561;0.001660061
Ireland;2008;4.309791819;0.004309792
Iceland;2008;3.53481573;0.003534816
Italy;2008;7.026550566;0.007026551
Malta;2008;2.242420837;0.002242421
Netherlands;2008;1.41107712;0.001411077
Norway;2008;9.203449847;0.00920345
Poland;2008;-0.549392341;-0.000549392
Portugal;2008;0.94789091;0.000947891
Slovakia;2008;0.141469983;0.00014147
Sweden;2008;5.495769519;0.00549577
Austria;2017;5.180182791;0.005180183
Belgium;2017;4.944810437;0.00494481
Czech Republic;2017;0.265139123;0.000265139
Germany;2017;5.211935947;0.005211936
Denmark;2017;4.022216903;0.004022217
Spain;2017;3.594405849;0.003594406
Finland;2017;2.415846588;0.002415847
France;2017;0.196882693;0.000196883
Hungary;2017;1.843488218;0.001843488
Ireland;2017;6.073984459;0.006073984
Iceland;2017;24.21665696;0.024216657
Italy;2017;1.164169661;0.00116417
Malta;2017;23.15389563;0.023153896
Netherlands;2017;3.536510022;0.00353651
Norway;2017;4.09022757;0.004090228
Poland;2017;-0.052218804;-5.22E-05
Portugal;2017;0.509111385;0.000509111
Slovakia;2017;0.651194875;0.000651195
Sweden;2017;8.030167539;0.008030168
